City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
332,vuktyl,100,RU,1581184252,99,63.86,57.31,-12.32,3.44
333,tarakan,100,ID,1581184253,85,3.3,117.63,79.54,7.85
334,qaqortoq,75,GL,1581184253,44,60.72,-46.03,17.6,2.24
335,rivera,16,UY,1581184253,37,-30.91,-55.55,94.06,9.93
336,port elizabeth,19,ZA,1581184253,83,-33.92,25.57,71.6,12.75
337,la ronge,90,CA,1581184253,84,55.1,-105.28,5.0,6.93
338,moorhead,90,US,1581184253,78,46.87,-96.77,12.2,6.93
339,cayenne,75,GF,1581184253,70,4.93,-52.33,86.0,18.34
340,katsuura,20,JP,1581184152,51,35.13,140.3,39.2,14.99
341,kabanjahe,40,ID,1581184253,94,3.1,98.49,77.0,4.7
342,evensk,0,RU,1581184253,55,61.95,159.23,-13.34,11.41
343,algete,20,ES,1581184253,76,40.6,-3.5,51.8,4.7
344,tak bai,20,TH,1581184253,83,6.26,102.05,78.8,4.7
345,lovington,5,US,1581184253,52,32.94,-103.35,50.0,10.29
346,bengkulu,100,ID,1581184253,89,-3.8,102.27,72.23,3.31
347,jiuquan,0,CN,1581184253,26,39.74,98.52,23.0,1.9
348,marystown,37,CA,1581184253,71,47.17,-55.15,24.64,37.42
349,leshukonskoye,99,RU,1581184253,96,64.9,45.76,4.98,5.55
350,riyadh,20,SA,1581184201,23,24.69,46.72,75.2,6.93
351,ulladulla,90,AU,1581184253,100,-35.35,150.47,69.01,17.22
352,yantal,98,RU,1581184253,96,56.85,105.25,9.27,3.91
353,mount gambier,1,AU,1581184253,93,-37.83,140.77,60.8,8.05
354,santa vitoria,100,BR,1581184254,91,-18.84,-50.12,72.03,14.5
355,corsicana,90,US,1581184254,39,32.1,-96.47,62.01,11.41
356,necochea,100,AR,1581184254,77,-38.55,-58.74,68.0,8.99
357,tymovskoye,100,RU,1581184254,98,50.85,142.66,-12.35,4.07
358,santa isabel,75,BR,1581184254,55,-23.32,-46.22,87.8,13.87
359,luwingu,100,ZM,1581184254,97,-10.26,29.93,66.24,3.06
360,port keats,94,AU,1581184254,83,-14.25,129.55,84.15,12.5
361,barda,69,AZ,1581184254,71,40.37,47.13,35.92,25.43
362,tyler,1,US,1581184035,33,32.35,-95.3,62.01,4.7
363,laguna,1,US,1581184254,87,38.42,-121.42,57.0,3.36
364,erzin,75,TR,1581184254,30,36.96,36.2,42.8,24.16
365,puerto suarez,40,BO,1581184254,59,-18.95,-57.8,93.2,4.7
366,maputo,75,MZ,1581183982,88,-25.97,32.59,82.4,12.75
367,acari,93,PE,1581184254,71,-15.43,-74.62,71.78,9.08
368,udaipura,0,IN,1581184254,40,23.08,78.5,56.84,9.37
369,ust-karsk,100,RU,1581184254,97,52.7,118.81,-1.68,2.15
370,batagay-alyta,0,RU,1581184254,69,67.8,130.41,-32.13,4.9
371,gushikawa,75,JP,1581184254,55,26.35,127.87,60.8,23.04
372,kodinsk,100,RU,1581184254,94,58.69,99.18,23.29,13.53
373,umba,92,RU,1581184254,91,66.69,34.34,26.13,10.2
374,ancud,0,CL,1581184254,43,-41.87,-73.82,69.8,9.17
375,billings,90,US,1581183958,86,45.78,-108.5,35.01,19.46
376,lisakovsk,100,KZ,1581184254,92,52.54,62.49,5.36,5.84
377,acarau,71,BR,1581184254,69,-2.89,-40.12,85.1,11.27
378,awbari,88,LY,1581184255,26,26.59,12.78,55.22,6.89
379,ahuimanu,75,US,1581184255,100,21.44,-157.84,66.2,9.17
380,mareeba,71,AU,1581184255,83,-17.0,145.43,80.6,2.24
381,suluq,67,LY,1581184255,62,31.67,20.25,53.19,5.7
382,urengoy,99,RU,1581184255,98,65.97,78.37,-10.12,4.68
383,virginia beach,1,US,1581184030,30,36.85,-75.98,46.99,5.82
384,buala,96,SB,1581184255,83,-8.14,159.59,80.13,11.9
385,soyo,81,AO,1581184255,77,-6.13,12.37,82.15,9.01
386,redencao,40,BR,1581184255,62,-4.23,-38.73,87.8,12.75
387,svetlogorsk,97,BY,1581184255,97,52.63,29.73,27.12,5.46
388,coahuayana,5,MX,1581184255,50,18.73,-103.68,75.2,5.17
389,morondava,55,MG,1581184255,74,-20.28,44.28,75.56,6.67
390,sidi ali,11,DZ,1581184255,85,36.1,0.42,53.13,2.55
391,manokwari,100,ID,1581184255,86,-0.87,134.08,72.25,7.43
392,kalevala,100,RU,1581184255,96,65.2,31.17,28.54,9.22
393,vostok,100,RU,1581184255,99,46.49,135.88,-16.42,2.08
394,souillac,75,MU,1581184255,83,-20.52,57.52,78.8,9.17
395,faya,36,SA,1581184255,87,18.39,42.45,62.6,7.47
396,sakaraha,0,MG,1581184256,60,-22.9,44.53,75.38,3.13
397,mafinga,21,TZ,1581184256,84,-7.25,35.07,70.12,1.95
398,samarai,100,PG,1581184256,91,-10.62,150.67,75.15,4.18
399,barranca,53,PE,1581184256,91,-10.75,-77.77,71.46,9.86
400,miandrivazo,46,MG,1581184256,80,-19.52,45.47,79.56,6.08
401,nizhniy kuranakh,100,RU,1581184256,97,58.84,125.49,4.95,2.08
402,susanville,1,US,1581183966,36,40.42,-120.65,46.4,12.75
403,tiznit,40,MA,1581184256,58,29.58,-9.5,59.61,8.08
404,marrakesh,20,MA,1581184256,37,31.63,-8.01,69.8,8.05
405,moerai,74,PF,1581184256,84,-22.43,-151.33,80.06,17.05
406,dharchula,0,IN,1581184256,21,29.85,80.53,24.1,19.51
407,kashi,0,CN,1581184256,42,39.45,75.98,30.2,8.95
408,makakilo city,75,US,1581184256,100,21.35,-158.09,66.2,9.17
409,praya,91,CV,1581184256,42,14.92,-23.51,84.2,17.22
410,grand-lahou,5,CI,1581184256,79,5.14,-5.02,83.17,15.26
411,yavaros,40,MX,1581184256,60,26.7,-109.52,71.01,1.01
412,srandakan,93,ID,1581184256,91,-7.94,110.25,75.45,0.76
413,massaguet,28,TD,1581184256,17,12.48,15.44,84.2,12.75
414,tres lagoas,83,BR,1581184256,83,-20.75,-51.68,76.84,16.64
415,poquoson,1,US,1581184256,36,37.12,-76.35,46.99,2.37
416,matias olimpio,29,BR,1581184256,74,-3.72,-42.56,85.14,7.7
417,cochrane,90,CA,1581184256,85,51.18,-114.47,25.0,13.87
418,ewa beach,75,US,1581184256,100,21.32,-158.01,66.2,9.17
419,breves,100,BR,1581184256,97,-1.68,-50.48,75.58,2.66
420,medeiros neto,99,BR,1581184256,53,-17.37,-40.22,87.01,4.85
421,moberly,40,US,1581184257,72,39.42,-92.44,33.01,4.7
422,cabedelo,40,BR,1581184257,55,-6.98,-34.83,89.6,12.75
423,najran,12,SA,1581184135,23,17.49,44.13,86.0,4.9
424,zyryanka,73,RU,1581184257,83,65.75,150.85,-28.73,9.28
425,hami,0,CN,1581184257,46,42.8,93.45,22.6,1.63
426,molodizhne,5,UA,1581184257,66,48.18,32.66,15.8,6.71
427,mahibadhoo,36,MV,1581184257,75,3.78,72.97,82.27,12.44
428,broken hill,90,AU,1581184257,73,-31.95,141.43,69.8,18.34
429,hvide sande,100,DK,1581184257,93,56.0,8.13,44.01,9.17
430,mana,41,GF,1581184257,57,5.66,-53.78,84.9,7.9
431,kalmunai,11,LK,1581184257,71,7.42,81.82,79.41,10.45
432,iskateley,29,RU,1581184257,97,67.68,53.15,-1.52,9.66
433,rovnoye,61,RU,1581184257,86,50.78,46.05,13.8,13.42
434,litovko,14,RU,1581184257,99,49.24,135.17,-16.42,1.63
435,chapais,90,CA,1581184061,63,49.78,-74.85,-11.2,11.41
436,aldan,100,RU,1581184257,95,58.6,125.39,5.41,6.4
437,roald,40,NO,1581184257,70,62.58,6.13,45.0,18.34
438,yakovlevo,0,RU,1581184257,56,50.86,36.45,14.0,6.71
439,kayseri,75,TR,1581184257,78,38.74,35.5,17.6,9.17
440,lata,75,PT,1581184257,87,40.16,-8.33,59.0,3.36
441,vila velha,20,BR,1581184257,66,-20.33,-40.29,86.0,11.41
442,skibbereen,75,IE,1581184257,100,51.55,-9.27,46.4,26.4
443,gold coast,75,AU,1581183976,100,-28.0,153.43,73.0,19.64
444,soyaux,100,FR,1581184257,81,45.65,0.2,51.8,2.24
445,rosario,75,AR,1581184244,66,-32.95,-60.64,84.2,11.41
446,airai,99,TL,1581184257,91,-8.93,125.41,67.77,1.83
447,berezovyy,0,RU,1581184258,89,51.67,135.7,-17.25,2.89
448,young,96,UY,1581184258,80,-32.68,-57.63,80.01,3.0
449,pozega,0,HR,1581184258,74,45.34,17.69,37.4,2.24
450,nouadhibou,7,MR,1581184258,60,20.93,-17.03,73.4,19.46
451,tsiroanomandidy,14,MG,1581184258,80,-18.77,46.03,72.19,2.04
452,plettenberg bay,41,ZA,1581184111,88,-34.05,23.37,70.75,6.73
